Alabama,U.S. Senator, Tommy,Tuberville,R,TTUBERVILLE
Virginia,U.S. Senator, Tim,Kaine,D,TIMKAINE
Montana,U.S. Senator, Steve,Daines,R,STEVEDAINES
Rhode Island,U.S. Senator, Sheldon,Whitehouse,D,SENWHITEHOUSE
Massachusetts,U.S. Senator, Elizabeth,Warren,D,SENWARREN
Pennsylvania,U.S. Senator, Patrick,Toomey,R,SENTOOMEY
Arkansas,U.S. Senator, Tom,Cotton,R,SENTOMCOTTON
Indiana,U.S. Senator, Todd,Young,R,SENTODDYOUNG
Minnesota,U.S. Senator, Tina,Smith,D,SENTINASMITH
North Carolina,U.S. Senator, Thom,Tillis,R,SENTHOMTILLIS
Texas,U.S. Senator, Ted,Cruz,R,SENTEDCRUZ
Michigan,U.S. Senator, Debbie,Stabenow,D,SENSTABENOW
Ohio,U.S. Senator, Sherrod,Brown,D,SENSHERRODBROWN
Alabama,U.S. Senator, Richard,Shelby,R,SENSHELBY
New York,U.S. Senator, Chuck,Schumer,D,SENSCHUMER
Nebraska,U.S. Senator, Ben,Sasse,R,SENSASSE
Vermont,U.S. Senator, Bernie,Sanders,I,SENSANDERS
Wisconsin,U.S. Senator, Ron,Johnson,R,SENRONJOHNSON
Ohio,U.S. Senator, Rob,Portman,R,SENROBPORTMAN
Utah,U.S. Senator, Mike,Lee,R,SENMIKELEE
Arizona,U.S. Senator, Mark,Kelly,D,SENMARKKELLY
Massachusetts,U.S. Senator, Edward,Markey,D,SENMARKEY
Wyoming,U.S. Senator, Cynthia,Lummis,R,SENLUMMIS
North Dakota,U.S. Senator, Kevin,Cramer,R,SENKEVINCRAMER
Iowa,U.S. Senator,,Joni Ernst,R,SENJONIERNST
South Dakota,U.S. Senator, John,Thune,R,SENJOHNTHUNE
North Dakota,U.S. Senator, John,Hoeven,R,SENJOHNHOEVEN
Wyoming,U.S. Senator, John,Barrasso,R,SENJOHNBARRASSO
Oregon,U.S. Senator, Jeff,Merkley,D,SENJEFFMERKLEY
Nevada,U.S. Senator, Jacky,Rosen,D,SENJACKYROSEN
Rhode Island,U.S. Senator, Jack,Reed,D,SENJACKREED
Mississippi,U.S. Senator, Cindy,Hyde-Smith,R,SENHYDESMITH
New York,U.S. Senator, Kirsten,Gillibrand,D,SENGILLIBRAND
Michigan,U.S. Senator, Gary,Peters,D,SENGARYPETERS
California,U.S. Senator, Dianne,Feinstein,D,SENFEINSTEIN
Illinois,U.S. Senator,Tammy,Duckworth,D,SENDUCKWORTH
Alaska,U.S. Senator, Dan,Sullivan,R,SENDANSULLIVAN
Delaware,U.S. Senator, Chris,Coons,D,SENCOONSOFFICE
West Virginia,U.S. Senator, Shelley,Moore Capito,R,SENCAPITO
Hawaii,U.S. Senator, Brian,Schatz,D,SENBRIANSCHATZ
Pennsylvania,U.S. Senator, Bob Jr.,Casey,D,SENBOBCASEY
Connecticut,U.S. Senator, Richard,Blumenthal,D,SENBLUMENTHAL
Mississippi,U.S. Senator, Roger,Wicker,R,SENATORWICKER
South Carolina,U.S. Senator, Tim,Scott,R,SENATORTIMSCOTT
Montana,U.S. Senator, Jon,Tester,D,SENATORTESTER
Arizona,U.S. Senator, Kyrsten,Sinema,D,SENATORSINEMA
New Hampshire,U.S. Senator, Jeanne,Shaheen,D,SENATORSHAHEEN
South Dakota,U.S. Senator, Mike,Rounds,R,SENATORROUNDS
Utah,U.S. Senator, Mitt,Romney,R,SENATORROMNEY
Idaho,U.S. Senator, Jim,Risch,R,SENATORRISCH
New Jersey,U.S. Senator, Robert,Menendez,D,SENATORMENENDEZ
New Mexico,U.S. Senator, Ben Ray,Luján,D,SENATORLUJAN
Vermont,U.S. Senator, Patrick,Leahy,D,SENATORLEAHY
Oklahoma,U.S. Senator, James,Lankford,R,SENATORLANKFORD
Colorado,U.S. Senator, John,Hickenlooper,D,SENATORHICK
Nebraska,U.S. Senator, Deb,Fischer,R,SENATORFISCHER
Illinois,U.S. Senator, Richard,Durbin,D,SENATORDURBIN
Maine,U.S. Senator, Susan,Collins,R,SENATORCOLLINS
Delaware,U.S. Senator, Tom,Carper,D,SENATORCARPER
Maryland,U.S. Senator, Benjamin,Cardin,D,SENATORCARDIN
